id_transacao,data_emissao,data_vencimento,data_pagamento,status_pagamento,produto,cliente_segmento,canal_venda,risco_credito,valor_bruto,desconto,custo_operacional,data_referencia,lucro_liquido,Nome_mes,mes
1,2023-06-15,2023-08-14,2023-08-04,pago,Cartão de Crédito,PF,Online,Médio,1664.265,0.0,267.73,2023-08-14,1396.535,June,2023-06
2,2023-08-03,2023-09-02,,Em atraso,Consórcio,PF,Agência,Baixo,0.0,0.0,267.73,2023-09-02,0.0,August,2023-08
3,2023-01-26,2023-03-27,2023-03-19,Pago,Financiamento,PF,Online,Alto,0.0,50.0,302.12,2023-03-27,0.0,January,2023-01
4,2023-02-22,2023-04-23,,Vencido,Consórcio,PF,Agência,Alto,1664.265,0.0,267.73,2023-04-23,1396.535,February,2023-02
5,2024-02-02,2024-05-02,2024-04-23,pago,Financiamento,PF,Agência,Baixo,0.0,100.0,267.73,2024-05-02,0.0,February,2024-02
6,2024-03-24,2024-06-22,2024-06-18,pago,Consórcio,PJ,Agência,Alto,15341.29,0.0,267.73,2024-06-22,15073.560000000001,March,2024-03
7,2023-08-04,2023-09-03,2023-08-26,Pago,Cartão de Crédito,PF,Representante,Alto,0.0,100.0,80.94,2023-09-03,0.0,August,2023-08
8,2024-04-28,2024-07-27,2024-07-17,pago,Consórcio,PF,Representante,Alto,1664.265,100.0,267.73,2024-07-27,1296.535,April,2024-04
9,2023-01-12,,,Vencido,Crédito Pessoal,PF,Representante,Médio,4450.79,50.0,267.73,,4133.0599999999995,January,2023-01
10,2023-07-20,,,Pago,Financiamento,PJ,Representante,Alto,0.0,100.0,267.73,,0.0,July,2023-07
11,2024-05-05,2024-07-04,,Em atraso,Financiamento,PF,Representante,Médio,2349.72,50.0,168.24,2024-07-04,2131.4799999999996,May,2024-05
12,2023-03-16,,,Vencido,Consórcio,PF,Online,Alto,0.0,50.0,267.73,,0.0,March,2023-03
13,2023-07-23,,,pago,Crédito Pessoal,PF,Online,Médio,1664.265,50.0,248.28,,1365.9850000000001,July,2023-07
14,2023-06-24,2023-07-24,2023-07-24,Pago,Cartão de Crédito,PF,Online,Baixo,1664.265,0.0,267.73,2023-07-24,1396.535,June,2023-06
15,2023-03-18,2023-06-16,,Vencido,Crédito Pessoal,PJ,Representante,Alto,0.0,0.0,267.73,2023-06-16,0.0,March,2023-03
16,2023-03-15,2023-04-14,,Vencido,Consórcio,PF,Agência,Alto,0.0,50.0,115.97,2023-04-14,0.0,March,2023-03
17,2024-01-24,2024-04-23,2024-04-19,Pago,Financiamento,PF,Representante,Médio,13104.4,100.0,325.95,2024-04-23,12678.449999999999,January,2024-01
18,2024-02-17,2024-04-17,2024-04-14,pago,Crédito Pessoal,PF,Representante,Alto,0.0,100.0,267.73,2024-04-17,0.0,February,2024-02
19,2023-08-17,2023-11-15,,Vencido,Seguro,PF,Representante,Médio,2289.29,50.0,267.19,2023-11-15,1972.1,August,2023-08
20,2023-09-03,2023-12-02,2023-11-22,Pago,Seguro,PF,Representante,Alto,0.0,50.0,267.73,2023-12-02,0.0,September,2023-09
21,2023-08-26,,,Pago,Crédito Pessoal,PF,Representante,Médio,18202.53,50.0,267.73,,17884.8,August,2023-08
22,2023-12-03,2024-03-02,,Em atraso,Crédito Pessoal,PF,Online,Médio,13851.9,0.0,245.21,2024-03-02,13606.69,December,2023-12
23,2024-02-27,2024-04-27,2024-04-23,Pago,Consórcio,PJ,Representante,Alto,1664.265,50.0,425.39,2024-04-27,1188.875,February,2024-02
24,2024-04-10,2024-07-09,2024-06-29,pago,Consórcio,PF,Agência,Baixo,1664.265,50.0,442.76,2024-07-09,1171.505,April,2024-04
25,2023-11-08,2023-12-08,,Em atraso,Consórcio,PF,Representante,Alto,0.0,0.0,402.92,2023-12-08,0.0,November,2023-11
26,2024-03-28,2024-04-27,,Em atraso,Consórcio,PJ,Online,Baixo,5025.26,0.0,249.46,2024-04-27,4775.8,March,2024-03
27,2023-12-21,2024-03-20,2024-03-12,pago,Consórcio,PJ,Agência,Alto,0.0,50.0,111.71,2024-03-20,0.0,December,2023-12
28,2023-07-20,,,Vencido,Crédito Pessoal,PF,Representante,Baixo,2091.89,50.0,453.66,,1588.2299999999998,July,2023-07
29,2024-04-26,2024-07-25,,Em atraso,Financiamento,PF,Online,Alto,6551.76,50.0,448.22,2024-07-25,6053.54,April,2024-04
30,2023-12-08,2024-02-06,,Em atraso,Cartão de Crédito,PJ,Agência,Alto,1664.265,50.0,267.73,2024-02-06,1346.535,December,2023-12
31,2023-01-10,2023-04-10,2023-04-03,pago,Consórcio,PF,Representante,Baixo,0.0,100.0,100.78,2023-04-10,0.0,January,2023-01
32,2024-05-12,2024-06-11,2024-06-07,Pago,Financiamento,PJ,Representante,Alto,7016.44,100.0,267.73,2024-06-11,6648.709999999999,May,2024-05
33,2023-12-25,2024-03-24,2024-03-20,Pago,Seguro,PF,Representante,Baixo,1664.265,50.0,267.73,2024-03-24,1346.535,December,2023-12
34,2023-02-12,2023-04-13,2023-04-09,Pago,Cartão de Crédito,PF,Representante,Alto,0.0,0.0,329.77,2023-04-13,0.0,February,2023-02
35,2023-09-27,2023-11-26,2023-11-24,Pago,Cartão de Crédito,PF,Representante,Médio,6768.81,50.0,180.48,2023-11-26,6538.330000000001,September,2023-09
36,2023-05-19,2023-08-17,2023-08-13,Pago,Consórcio,PJ,Agência,Alto,1212.65,50.0,267.73,2023-08-17,894.9200000000001,May,2023-05
37,2023-12-03,,,pago,Financiamento,PJ,Agência,Médio,0.0,50.0,267.73,,0.0,December,2023-12
38,2023-01-28,2023-03-29,2023-03-28,Pago,Financiamento,PF,Online,Alto,0.0,50.0,267.73,2023-03-29,0.0,January,2023-01
39,2023-11-03,2024-01-02,,Vencido,Cartão de Crédito,PJ,Online,Alto,1417.37,50.0,267.73,2024-01-02,1099.6399999999999,November,2023-11
40,2024-05-12,2024-08-10,,Em atraso,Cartão de Crédito,PF,Online,Alto,0.0,50.0,267.73,2024-08-10,0.0,May,2024-05
41,2023-05-23,2023-07-22,,Em atraso,Cartão de Crédito,PF,Agência,Alto,12766.97,0.0,267.73,2023-07-22,12499.24,May,2023-05
42,2023-01-12,2023-04-12,,Vencido,Consórcio,PJ,Representante,Alto,15852.85,50.0,117.26,2023-04-12,15685.59,January,2023-01
43,2023-01-23,,,Em atraso,Consórcio,PF,Agência,Baixo,1664.265,0.0,64.02,,1600.2450000000001,January,2023-01
44,2023-11-23,2024-02-21,2024-02-15,Pago,Crédito Pessoal,PF,Agência,Alto,1664.265,0.0,267.73,2024-02-21,1396.535,November,2023-11
45,2024-02-13,2024-03-14,2024-03-04,Pago,Cartão de Crédito,PF,Representante,Médio,1664.265,50.0,378.2,2024-03-14,1236.065,February,2024-02
46,2023-04-29,,,pago,Cartão de Crédito,PF,Agência,Baixo,21184.62,50.0,267.73,,20866.89,April,2023-04
47,2023-05-11,2023-08-09,,Em atraso,Cartão de Crédito,PF,Online,Médio,607.99,50.0,267.73,2023-08-09,290.26,May,2023-05
48,2023-12-29,2024-03-28,2024-03-21,pago,Cartão de Crédito,PF,Representante,Baixo,11818.58,50.0,180.31,2024-03-28,11588.27,December,2023-12
49,2024-02-24,,,Vencido,Consórcio,PF,Agência,Alto,9855.15,0.0,478.73,,9376.42,February,2024-02
50,2023-11-05,2024-02-03,2024-01-29,Pago,Crédito Pessoal,PF,Online,Alto,0.0,50.0,267.73,2024-02-03,0.0,November,2023-11
51,2023-06-04,2023-08-03,2023-07-29,pago,Crédito Pessoal,PJ,Representante,Alto,9589.82,100.0,104.02,2023-08-03,9385.8,June,2023-06
52,2024-01-01,2024-01-31,,Vencido,Seguro,PF,Online,Alto,6554.34,50.0,267.73,2024-01-31,6236.610000000001,January,2024-01
53,2024-03-13,2024-04-12,,Vencido,Financiamento,PF,Representante,Alto,1664.265,100.0,279.93,2024-04-12,1284.335,March,2024-03
54,2024-01-31,2024-04-30,2024-04-30,pago,Consórcio,PF,Agência,Baixo,1664.265,50.0,267.73,2024-04-30,1346.535,January,2024-01
55,2023-08-19,2023-10-18,,Vencido,Financiamento,PJ,Representante,Alto,1664.265,50.0,267.73,2023-10-18,1346.535,August,2023-08
56,2024-01-14,2024-04-13,2024-04-03,pago,Crédito Pessoal,PF,Agência,Baixo,0.0,50.0,267.73,2024-04-13,0.0,January,2024-01
57,2023-10-09,2023-12-08,2023-12-03,pago,Financiamento,PF,Agência,Médio,0.0,50.0,267.73,2023-12-08,0.0,October,2023-10
58,2023-10-12,2023-11-11,,Vencido,Crédito Pessoal,PF,Representante,Alto,0.0,50.0,236.25,2023-11-11,0.0,October,2023-10
59,2023-07-12,2023-10-10,,Vencido,Consórcio,PJ,Agência,Médio,0.0,100.0,91.67,2023-10-10,0.0,July,2023-07
60,2023-07-16,,,pago,Financiamento,PF,Representante,Alto,0.0,0.0,267.73,,0.0,July,2023-07
61,2023-01-01,2023-01-31,2023-01-23,pago,Crédito Pessoal,PF,Agência,Médio,0.0,50.0,285.06,2023-01-31,0.0,January,2023-01
62,2024-04-27,,,Pago,Financiamento,PF,Online,Alto,13922.07,0.0,267.73,,13654.34,April,2024-04
63,2023-09-28,,,Pago,Seguro,PJ,Agência,Baixo,0.0,50.0,267.73,,0.0,September,2023-09
64,2023-08-24,2023-11-22,,Vencido,Consórcio,PF,Agência,Baixo,16221.02,50.0,267.73,2023-11-22,15903.29,August,2023-08
65,2023-01-29,2023-02-28,,Em atraso,Crédito Pessoal,PJ,Agência,Alto,1664.265,50.0,466.32,2023-02-28,1147.9450000000002,January,2023-01
66,2023-09-10,2023-10-10,,Vencido,Financiamento,PF,Representante,Baixo,0.0,50.0,142.35,2023-10-10,0.0,September,2023-09
67,2023-06-09,2023-08-08,,Em atraso,Crédito Pessoal,PF,Representante,Médio,0.0,100.0,267.73,2023-08-08,0.0,June,2023-06
68,2023-08-02,2023-09-01,,Em atraso,Crédito Pessoal,PF,Agência,Alto,23071.51,50.0,73.33,2023-09-01,22948.179999999997,August,2023-08
69,2023-04-05,,,pago,Crédito Pessoal,PF,Representante,Médio,0.0,0.0,267.73,,0.0,April,2023-04
70,2023-01-17,2023-04-17,2023-04-12,pago,Crédito Pessoal,PF,Online,Alto,0.0,50.0,267.73,2023-04-17,0.0,January,2023-01
71,2024-05-04,2024-06-03,,Em atraso,Crédito Pessoal,PF,Representante,Médio,0.0,50.0,267.73,2024-06-03,0.0,May,2024-05
72,2023-04-09,2023-07-08,,Vencido,Seguro,PF,Representante,Baixo,0.0,0.0,267.73,2023-07-08,0.0,April,2023-04
73,2023-02-02,2023-03-04,,Vencido,Cartão de Crédito,PJ,Representante,Baixo,5115.05,100.0,267.73,2023-03-04,4747.32,February,2023-02
74,2024-04-18,2024-07-17,,Vencido,Crédito Pessoal,PF,Online,Alto,1664.265,0.0,267.73,2024-07-17,1396.535,April,2024-04
75,2024-05-03,,,Vencido,Seguro,PF,Online,Alto,0.0,50.0,420.24,,0.0,May,2024-05
76,2023-11-07,2024-01-06,,Vencido,Consórcio,PF,Agência,Alto,0.0,100.0,388.8,2024-01-06,0.0,November,2023-11
77,2023-07-28,2023-08-27,2023-08-20,Pago,Seguro,PF,Online,Alto,0.0,50.0,331.07,2023-08-27,0.0,July,2023-07
78,2023-02-19,,,pago,Financiamento,PF,Representante,Alto,0.0,50.0,329.14,,0.0,February,2023-02
79,2024-01-18,2024-02-17,,Vencido,Cartão de Crédito,PJ,Representante,Médio,1664.265,100.0,247.73,2024-02-17,1316.535,January,2024-01
80,2023-05-06,2023-07-05,,Em atraso,Cartão de Crédito,PF,Representante,Alto,1664.265,50.0,496.6,2023-07-05,1117.665,May,2023-05
81,2023-11-29,2023-12-29,2023-12-29,pago,Seguro,PJ,Online,Alto,0.0,50.0,154.8,2023-12-29,0.0,November,2023-11
82,2023-04-08,2023-06-07,2023-06-02,Pago,Consórcio,PJ,Online,Baixo,12962.92,50.0,267.73,2023-06-07,12645.19,April,2023-04
83,2023-04-22,2023-05-22,,Vencido,Cartão de Crédito,PF,Agência,Baixo,8698.41,50.0,267.73,2023-05-22,8380.68,April,2023-04
84,2023-12-14,2024-03-13,,Em atraso,Crédito Pessoal,PJ,Representante,Baixo,15639.04,50.0,267.73,2024-03-13,15321.310000000001,December,2023-12
85,2023-12-06,2024-02-04,2024-01-25,Pago,Seguro,PJ,Representante,Alto,1664.265,100.0,267.73,2024-02-04,1296.535,December,2023-12
86,2024-01-17,2024-04-16,2024-04-10,pago,Seguro,PF,Representante,Médio,0.0,50.0,267.73,2024-04-16,0.0,January,2024-01
87,2024-04-06,2024-06-05,2024-06-04,pago,Seguro,PF,Agência,Baixo,0.0,100.0,73.26,2024-06-05,0.0,April,2024-04
88,2023-11-25,,,Pago,Financiamento,PJ,Representante,Médio,0.0,50.0,284.52,,0.0,November,2023-11
89,2023-02-25,,,pago,Financiamento,PF,Representante,Alto,18912.83,100.0,267.73,,18545.100000000002,February,2023-02
90,2023-02-14,2023-04-15,,Em atraso,Seguro,PF,Agência,Baixo,1664.265,50.0,229.89,2023-04-15,1384.375,February,2023-02
91,2023-07-16,2023-10-14,2023-10-12,Pago,Crédito Pessoal,PF,Online,Alto,1664.265,50.0,267.73,2023-10-14,1346.535,July,2023-07
92,2023-10-09,2024-01-07,2024-01-03,pago,Cartão de Crédito,PJ,Representante,Médio,0.0,50.0,267.73,2024-01-07,0.0,October,2023-10
93,2023-08-27,2023-10-26,2023-10-17,pago,Seguro,PJ,Online,Baixo,0.0,50.0,267.73,2023-10-26,0.0,August,2023-08
94,2023-07-07,2023-08-06,2023-07-29,pago,Financiamento,PF,Representante,Baixo,12900.98,0.0,267.73,2023-08-06,12633.25,July,2023-07
95,2023-12-01,2024-01-30,2024-01-29,Pago,Financiamento,PF,Representante,Alto,1664.265,0.0,480.49,2024-01-30,1183.775,December,2023-12
96,2023-12-18,2024-02-16,2024-02-11,Pago,Cartão de Crédito,PF,Representante,Alto,0.0,50.0,267.73,2024-02-16,0.0,December,2023-12
97,2023-04-17,2023-07-16,,Em atraso,Financiamento,PJ,Agência,Alto,8181.21,50.0,267.73,2023-07-16,7863.48,April,2023-04
98,2023-03-28,2023-06-26,2023-06-18,Pago,Consórcio,PF,Online,Alto,0.0,50.0,267.73,2023-06-26,0.0,March,2023-03
99,2024-01-13,2024-04-12,,Vencido,Cartão de Crédito,PJ,Online,Alto,0.0,50.0,153.52,2024-04-12,0.0,January,2024-01
100,2023-06-01,2023-08-30,,Vencido,Crédito Pessoal,PF,Online,Médio,1664.265,100.0,267.73,2023-08-30,1296.535,June,2023-06
101,2023-08-02,2023-10-31,2023-10-29,Pago,Crédito Pessoal,PF,Online,Alto,1664.265,0.0,267.73,2023-10-31,1396.535,August,2023-08
102,2023-10-01,2023-11-30,2023-11-21,pago,Cartão de Crédito,PF,Representante,Médio,7738.53,50.0,110.64,2023-11-30,7577.889999999999,October,2023-10
103,2023-12-29,2024-02-27,2024-02-26,pago,Seguro,PJ,Online,Baixo,1872.62,100.0,267.73,2024-02-27,1504.8899999999999,December,2023-12
104,2023-11-01,,,pago,Crédito Pessoal,PF,Online,Alto,6437.88,0.0,133.55,,6304.33,November,2023-11
105,2023-01-30,2023-03-01,2023-02-20,Pago,Seguro,PF,Representante,Médio,13907.8,50.0,278.86,2023-03-01,13578.939999999999,January,2023-01
106,2023-06-03,2023-07-03,2023-06-25,pago,Crédito Pessoal,PF,Representante,Médio,0.0,50.0,151.68,2023-07-03,0.0,June,2023-06
107,2023-05-14,2023-07-13,2023-07-12,Pago,Crédito Pessoal,PJ,Representante,Alto,1664.265,100.0,183.03,2023-07-13,1381.2350000000001,May,2023-05
108,2023-02-13,2023-03-15,,Em atraso,Financiamento,PF,Representante,Médio,6731.11,50.0,267.73,2023-03-15,6413.379999999999,February,2023-02
109,2023-11-04,2024-01-03,2023-12-24,pago,Seguro,PF,Online,Baixo,1664.265,50.0,246.75,2024-01-03,1367.515,November,2023-11
110,2023-10-20,2024-01-18,,Em atraso,Consórcio,PF,Agência,Baixo,1664.265,0.0,62.11,2024-01-18,1602.1550000000002,October,2023-10
111,2023-11-15,2024-01-14,,Vencido,Crédito Pessoal,PF,Agência,Baixo,1664.265,0.0,363.65,2024-01-14,1300.6150000000002,November,2023-11
112,2023-02-03,2023-05-04,,Em atraso,Seguro,PF,Agência,Médio,1664.265,0.0,141.42,2023-05-04,1522.845,February,2023-02
113,2023-01-18,2023-02-17,,Vencido,Financiamento,PJ,Representante,Alto,12084.75,0.0,240.69,2023-02-17,11844.06,January,2023-01
114,2023-06-29,2023-09-27,,Vencido,Consórcio,PF,Representante,Alto,0.0,100.0,328.22,2023-09-27,0.0,June,2023-06
115,2024-02-08,,,Pago,Seguro,PF,Online,Médio,11080.3,100.0,371.48,,10608.82,February,2024-02
116,2023-10-22,2024-01-20,,Em atraso,Cartão de Crédito,PF,Online,Alto,1664.265,50.0,267.73,2024-01-20,1346.535,October,2023-10
117,2023-12-22,2024-02-20,2024-02-11,pago,Consórcio,PF,Representante,Médio,1664.265,100.0,472.23,2024-02-20,1092.035,December,2023-12
118,2023-09-13,2023-11-12,2023-11-02,Pago,Cartão de Crédito,PJ,Online,Alto,0.0,0.0,467.83,2023-11-12,0.0,September,2023-09
119,2023-08-05,2023-09-04,,Vencido,Consórcio,PF,Agência,Alto,0.0,50.0,492.08,2023-09-04,0.0,August,2023-08
120,2024-04-28,,,Em atraso,Cartão de Crédito,PF,Representante,Médio,1664.265,0.0,267.73,,1396.535,April,2024-04
121,2023-12-05,2024-03-04,,Em atraso,Consórcio,PF,Agência,Alto,1664.265,100.0,257.91,2024-03-04,1306.355,December,2023-12
122,2023-09-17,2023-11-16,,Vencido,Financiamento,PF,Representante,Alto,1664.265,50.0,267.73,2023-11-16,1346.535,September,2023-09
123,2024-05-04,2024-07-03,,Vencido,Financiamento,PF,Online,Médio,1664.265,0.0,222.9,2024-07-03,1441.365,May,2024-05
124,2024-02-11,2024-05-11,,Vencido,Crédito Pessoal,PJ,Agência,Alto,11042.6,0.0,258.76,2024-05-11,10783.84,February,2024-02
125,2023-07-24,,,Em atraso,Seguro,PF,Agência,Alto,1664.265,100.0,267.73,,1296.535,July,2023-07
126,2023-01-03,2023-03-04,2023-02-23,pago,Financiamento,PF,Agência,Médio,1664.265,50.0,267.73,2023-03-04,1346.535,January,2023-01
127,2023-08-10,2023-11-08,,Vencido,Financiamento,PJ,Agência,Alto,15818.44,50.0,267.73,2023-11-08,15500.710000000001,August,2023-08
128,2023-08-22,2023-09-21,2023-09-13,pago,Crédito Pessoal,PJ,Representante,Baixo,16978.55,100.0,67.17,2023-09-21,16811.38,August,2023-08
129,2023-03-24,2023-05-23,,Vencido,Consórcio,PF,Representante,Baixo,1664.265,50.0,267.73,2023-05-23,1346.535,March,2023-03
130,2023-09-25,2023-12-24,2023-12-17,pago,Seguro,PF,Online,Alto,1664.265,50.0,267.73,2023-12-24,1346.535,September,2023-09
131,2023-05-21,,,pago,Seguro,PF,Representante,Alto,1819.14,50.0,267.73,,1501.41,May,2023-05
132,2024-01-15,,,Em atraso,Financiamento,PF,Agência,Baixo,0.0,50.0,414.31,,0.0,January,2024-01
133,2023-08-29,2023-10-28,,Em atraso,Seguro,PJ,Agência,Alto,1664.265,50.0,209.64,2023-10-28,1404.625,August,2023-08
134,2023-05-17,,,Vencido,Seguro,PF,Representante,Alto,1664.265,50.0,267.73,,1346.535,May,2023-05
135,2023-06-14,,,pago,Cartão de Crédito,PF,Representante,Alto,1664.265,0.0,267.73,,1396.535,June,2023-06
136,2024-02-06,2024-04-06,,Vencido,Financiamento,PF,Representante,Alto,15939.11,0.0,323.69,2024-04-06,15615.42,February,2024-02
137,2024-03-13,2024-05-12,,Em atraso,Financiamento,PJ,Agência,Baixo,0.0,50.0,267.73,2024-05-12,0.0,March,2024-03
138,2023-04-12,,,Em atraso,Crédito Pessoal,PF,Online,Alto,1664.265,50.0,238.57,,1375.6950000000002,April,2023-04
139,2023-08-31,,,Pago,Financiamento,PJ,Agência,Baixo,12263.95,50.0,267.73,,11946.220000000001,August,2023-08
140,2023-08-28,,,Vencido,Seguro,PF,Online,Médio,0.0,50.0,336.67,,0.0,August,2023-08
141,2023-01-11,2023-02-10,,Vencido,Seguro,PF,Online,Médio,20272.41,50.0,373.18,2023-02-10,19849.23,January,2023-01
142,2023-06-23,2023-07-23,,Vencido,Cartão de Crédito,PJ,Representante,Alto,1664.265,50.0,163.21,2023-07-23,1451.055,June,2023-06
143,2024-02-28,2024-05-28,,Vencido,Cartão de Crédito,PF,Representante,Alto,0.0,50.0,267.73,2024-05-28,0.0,February,2024-02
144,2024-02-10,2024-03-11,,Vencido,Financiamento,PF,Online,Baixo,1664.265,100.0,267.73,2024-03-11,1296.535,February,2024-02
145,2023-10-07,2023-11-06,2023-11-02,pago,Seguro,PF,Online,Alto,2979.96,50.0,327.51,2023-11-06,2602.45,October,2023-10
146,2023-04-19,2023-05-19,2023-05-09,pago,Crédito Pessoal,PJ,Online,Baixo,19138.07,50.0,215.99,2023-05-19,18872.079999999998,April,2023-04
147,2024-02-07,2024-05-07,,Vencido,Crédito Pessoal,PJ,Online,Alto,21602.53,50.0,304.85,2024-05-07,21247.68,February,2024-02
148,2023-09-12,2023-10-12,2023-10-06,Pago,Crédito Pessoal,PF,Representante,Médio,0.0,50.0,267.73,2023-10-12,0.0,September,2023-09
149,2023-10-08,2023-11-07,2023-10-28,Pago,Seguro,PF,Online,Baixo,11963.16,0.0,493.99,2023-11-07,11469.17,October,2023-10
150,2023-04-22,2023-05-22,,Em atraso,Seguro,PF,Agência,Baixo,0.0,50.0,214.64,2023-05-22,0.0,April,2023-04
151,2024-01-09,2024-02-08,,Vencido,Seguro,PF,Representante,Baixo,1664.265,50.0,372.74,2024-02-08,1241.525,January,2024-01
152,2023-02-01,2023-03-03,2023-02-25,Pago,Seguro,PF,Online,Alto,1664.265,50.0,267.73,2023-03-03,1346.535,February,2023-02
153,2023-08-29,2023-10-28,,Em atraso,Financiamento,PF,Representante,Alto,24168.98,100.0,267.73,2023-10-28,23801.25,August,2023-08
154,2024-04-28,2024-07-27,,Vencido,Consórcio,PF,Online,Médio,7521.99,100.0,267.73,2024-07-27,7154.26,April,2024-04
155,2023-10-27,,,Em atraso,Consórcio,PF,Representante,Alto,1664.265,50.0,267.73,,1346.535,October,2023-10
156,2023-05-15,2023-08-13,2023-08-11,pago,Financiamento,PF,Agência,Alto,14790.08,100.0,267.73,2023-08-13,14422.35,May,2023-05
157,2023-06-27,2023-07-27,2023-07-21,pago,Cartão de Crédito,PF,Online,Alto,1664.265,50.0,259.4,2023-07-27,1354.8650000000002,June,2023-06
158,2024-04-19,2024-07-18,2024-07-12,Pago,Crédito Pessoal,PF,Representante,Alto,11655.02,100.0,267.73,2024-07-18,11287.29,April,2024-04
159,2023-09-02,2023-11-01,,Em atraso,Cartão de Crédito,PJ,Representante,Alto,5553.53,50.0,400.84,2023-11-01,5102.69,September,2023-09
160,2023-05-07,2023-06-06,2023-06-01,pago,Crédito Pessoal,PF,Representante,Baixo,0.0,50.0,205.21,2023-06-06,0.0,May,2023-05
161,2023-02-18,2023-03-20,,Em atraso,Consórcio,PF,Agência,Alto,1664.265,50.0,267.73,2023-03-20,1346.535,February,2023-02
162,2023-08-07,2023-09-06,2023-08-28,pago,Crédito Pessoal,PJ,Agência,Médio,20525.12,100.0,220.19,2023-09-06,20204.93,August,2023-08
163,2023-01-27,2023-02-26,,Vencido,Crédito Pessoal,PF,Representante,Baixo,0.0,50.0,367.87,2023-02-26,0.0,January,2023-01
